project,type,url,name,summary,description,package stats
0ad,desktop,http://play0ad.com/,0,0,0,0
0install,desktop,http://0install.net,0,0,0,0
4Pane,desktop,http://www.4pane.co.uk,0,0,0,0
7kaa,desktop,http://7kfans.com/,0,0,0,0
Add64,desktop,http://www.amsynth.com/add64.html,0,0,0,0
google-android-emoji-fonts,font,https://android.googlesource.com/platform/frameworks/base.git/+/jb-release/data/fonts/,0,0,0,0
BlockOutII,desktop,http://www.blockout.net/blockout2/,0,0,0,0
cmake-gui,desktop,http://www.cmake.org,0,0,0,0
crrcsim,desktop,https://sourceforge.net/projects/crrcsim/,0,0,0,0
CardManager,desktop,http://cardmanager.wz.cz/,0,0,0,0
CriticalMass,desktop,http://criticalmass.sourceforge.net/,0,0,0,0
FlightGear,desktop,http://www.flightgear.org/,0,0,0,0
gnusim8085,desktop,http://gnusim8085.org/,0,0,0,0
gameconqueror,desktop,http://code.google.com/p/scanmem/,0,0,0,0
gammaray,desktop,https://www.kdab.com/kdab-products/gammaray/,0,0,0,0
IQmol,desktop,http://iqmol.org,0,0,0,0
typemade-josefinsansstd-light-fonts,font,http://typemade.mx/,0,0,0,0
kgoldrunner,desktop,https://projects.kde.org/projects/kde/kdegames/kgoldrunner,yes,0,0,0
kmail,desktop,http://www.kde.org/,yes,0,0,0
knode,desktop,http://www.kde.org/,yes,0,0,0
kontact,desktop,http://www.kde.org/,yes,0,0,0
libreatlas,desktop,https://www.gaia-gis.it/fossil/libreatlas/home,0,0,0,0
Maelstrom,desktop,http://www.libsdl.org/projects/Maelstrom/,0,0,0,0
hugin,desktop,http://hugin.sourceforge.net/,0,0,0,0
Panini,desktop,http://sourceforge.net/projects/pvqt/,0,0,0,0
polybori-gui,desktop,http://polybori.sourceforge.net/,0,0,0,0
PyMca,desktop,http://pymca.sourceforge.net/,0,0,0,0
RemoteBox,desktop,http://remotebox.knobgoblin.org.uk/,0,0,0,0
rodent,desktop,http://xffm.org/rodent-fm.html,yes,0,0,0.36
Saaghar,desktop,http://sourceforge.net/projects/saaghar/,0,0,0,0
scite,desktop,http://www.scintilla.org/SciTE.html,0,0,0,0
oflb-sportrop-fonts,font,http://openfontlibrary.org/media/files/gluk/287,0,0,0,0
Thunar,desktop,http://xfce.org/projects,yes,yes,0,0.67
tzclock,desktop,http://www.tzclock.org/,0,0,0,0
httrack,desktop,http://www.httrack.com,0,0,0,0
yagf,desktop,http://symmetrica.net/cuneiform-linux/yagf-en.html,0,0,0,0
aajohan-comfortaa-fonts,font,http://aajohan.deviantart.com,0,0,0,0
abattis-cantarell-fonts,font,http://abattis.org/cantarell/,0,0,0,0
abe,desktop,http://abe.sourceforge.net/,0,0,0,0
abiword,desktop,http://www.abisource.com/,0,0,0,0
accerciser,desktop,https://live.gnome.org/Accerciser,0,0,0,0.57
torque-gui,desktop,http://www.adaptivecomputing.com/products/open-source/torque/,0,0,0,0
torque-gui,desktop,http://www.adaptivecomputing.com/products/open-source/torque/,0,0,0,0
adf-accanthis-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
adf-tribun-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
admeshgui,desktop,http://admesh.org/,0,0,0,0
adobe-source-code-pro-fonts,font,http://sourceforge.net/projects/sourcecodepro.adobe,0,0,0,0
aeskulap,desktop,http://aeskulap.nongnu.org,0,0,0,0
akonadiconsole,desktop,http://www.kde.org/,yes,yes,0,0
akregator,desktop,http://www.kde.org/,yes,yes,0,0
aldusleaf-crimson-text-fonts,font,http://aldusleaf.org/0-crimson.html,0,0,0,0
ht-alegreya-fonts,font,http://www.huertatipografica.com.ar/tipografias/alegreya/ejemplos.html,0,0,0,0
alexandria,desktop,http://alexandria.rubyforge.org/,0,0,0,0
alienarena,desktop,http://red.planetarena.org/,0,0,0,0
almanah,desktop,http://tecnocode.co.uk/projects/almanah/,0,0,0,0
almas-mongolian-title-fonts,font,http://www.mongolfont.com/en/font/mngltitleotf.html,0,0,0,0
alt-ergo-gui,desktop,http://alt-ergo.ocamlpro.com/,0,0,0,0
amarok,desktop,http://amarok.kde.org,yes,yes,yes,0.75
amoebax,desktop,http://www.emma-soft.com/games/amoebax/,0,0,0,0
amsynth,desktop,https://code.google.com/p/amsynth/,0,0,0,0
anjuta,desktop,https://projects.gnome.org/anjuta/,0,0,0,0.25
anka-coder-condensed-fonts,font,http://code.google.com/p/anka-coder-fonts/,0,0,0,0
anki,desktop,http://ankisrs.net/,0,0,0,0
ansifilter-gui,desktop,http://www.andre-simon.de/doku/ansifilter/ansifilter.php,0,0,0,0
ibus-anthy-python,inputmethod,http://code.google.com/p/ibus/,0,0,0,0
antimicro,desktop,https://github.com/Ryochan7/antimicro,0,0,0,0
antlrworks,desktop,http://www.antlr3.org/works,0,0,0,0
apa-new-athena-unicode-fonts,font,http://apagreekkeys.org/NAUdownload.html,0,0,0,0
